username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/04/23;0;0;"Automation Engineer at Liveperson (Raanana, Israel) https://www.stackpair.com/l/Nkmv6  #automationengineer #docker #git #js #java #jenkins";;;#automationengineer #docker #git #js #java #jenkins;"988514595143696384";https://twitter.com/stackpair_feed/status/988514595143696384
;2018/04/23;51;70;"Check out how to create an @Azure cloud infrastructure using #Linux VMs with #Jenkins, @github, and @Docker! https://aka.ms/p_azjenkinsdock pic.twitter.com/GBOLloNQAC";;@Azure @github @Docker;#Linux #Jenkins;"988493039822925824";https://twitter.com/AzureSupport/status/988493039822925824
;2018/04/30;0;0;"Hop on the #Jenkins train with this beginner tutorial https://www.theserverside.com/tutorial/Need-a-CI-tool-Heres-a-Jenkins-tutorial-for-beginners …";;;#Jenkins;"990977846989422592";https://twitter.com/incredibuild/status/990977846989422592
;2018/04/30;0;0;"How to Add your First Android Job to Jenkins https://buff.ly/2tF70up  #android #jenkins #ci";;;#android #jenkins #ci;"990879934380937217";https://twitter.com/bugfenderapp/status/990879934380937217
;2018/04/30;0;0;"I thought that you cannot interact with a shit bigger than #ColdFusion, but hello - there is #Jenkins.";;;#ColdFusion #Jenkins;"990826272522616832";https://twitter.com/mattkomarnicki/status/990826272522616832
;2018/04/27;1;1;"Got #FullStack skills in #Jenkins , Spring boot, and #OOP ? Open to relocation to #Louisiana ? Then, reach out and let's connect! #IBM #jobs #Hiring pic.twitter.com/WPtLA4t85X";;;#FullStack #Jenkins #OOP #Louisiana #IBM #jobs #Hiring;"989883036983586817";https://twitter.com/GBS_BR_Kathy/status/989883036983586817
;2018/04/27;0;0;"Watch our demo on running HP ALM tests from #Jenkins in Worksoft Execution Manager here: http://ow.ly/8cdM30j4Stn  #DevOpspic.twitter.com/GW47Qpjgqj";;;#Jenkins #DevOpspic;"989876882966532096";https://twitter.com/WorksoftInc/status/989876882966532096
;2018/04/27;0;1;"#TeamSage presenting "Security testing automation with #Jenkins and #Threadfix @OWASPLondon #SageUK #DevSecOpspic.twitter.com/tNX324plxA";;@OWASPLondon;#TeamSage #Jenkins #Threadfix #SageUK #DevSecOpspic;"989792219740721152";https://twitter.com/neiltosh/status/989792219740721152
;2018/04/26;0;4;"Maybe I'm late to the party, but this is sooo awesome: The favicon of #Jenkins build status on @gitlab pic.twitter.com/11Ayw9hIl2";;@gitlab;#Jenkins;"989509509650505728";https://twitter.com/laytoun/status/989509509650505728
;2018/04/25;0;6;"Ready, set, go! Let's learn about scaling #Jenkins CI with #Kubernetes!pic.twitter.com/dAxvozcKXx";;;#Jenkins #Kubernetes;"989174659127173120";https://twitter.com/GDGCloudNorway/status/989174659127173120
;2018/04/25;1;2;"BRAND NEW ROLE: A leading #software company in #Blisworth #Northamptonshire requires a #Linux #Systems #Administrator that would like to progress into a #DevOps #Engineer ( #Jenkins / #Java/ #C#) to join their team. Click to apply: https://buff.ly/2HBSmtE  #Jobs #ITjobs @ITRTGpic.twitter.com/tqSN1QWjZ0";;@ITRTGpic;#software #Blisworth #Northamptonshire #Linux #Systems #Administrator #DevOps #Engineer #Jenkins #Java #C # #Jobs #ITjobs;"989167919425667072";https://twitter.com/SSARecruit/status/989167919425667072
